"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
"원미구",174552,174645,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"소사구",98761,99148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"오정구",-,-,-,-,-,-,-,-,-,-,169862,168613,168075,167966,167061,167791,165203,162793,161983,159700,156297,154164,150524,141376,128449,127465,126351,125838,126685,125256,122142,113097,100774,-
"오정구",69064,69640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"소사구",-,-,-,-,-,-,-,-,-,-,86289,87108,87818,87771,87891,86967,85184,85103,83084,82004,79277,77222,73569,68558,67266,65711,66116,66669,68024,68018,66759,66027,67356,-
"오정구",-,-,-,-,-,-,-,-,-,-,71466,71741,72337,72774,73277,74008,71859,72425,71412,69103,67422,66548,66284,65066,63780,62422,61194,60482,60296,59808,58568,58537,57881,-
"광명시",123100,115024,115114,118493,119817,120560,126001,128126,127168,127461,128208,129039,130401,131172,131770,128649,116989,115295,115216,114670,118614,118163,118474,116021,110685,109927,110295,111668,111324,112292,111629,111262,109777,108718
"평택시",292664,285297,279835,271362,262097,243838,226020,214409,204252,195970,189122,181801,177174,172891,169071,165745,158628,157018,153560,148995,141108,133244,128349,122294,120076,118218,115822,113296,112767,107478,101501,30001,28002,26991
"송탄출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"안중출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"송탄시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32909,30781,28624
"동두천시",43565,43096,43366,43973,44369,43874,42999,42919,42420,42455,42094,41603,41327,40886,40202,39915,37832,36727,34671,32919,31261,29520,27495,26172,25884,25599,25014,24209,24046,23362,22851,22277,21758,20788
"안산시",287919,288070,288567,291091,292113,286061,277331,276662,278240,280524,281865,283527,283650,282006,281655,280919,273075,273025,269534,264603,253174,244608,236313,223529,205712,195972,188274,187296,187005,179797,170932,154932,136342,121309
"상록구",151687,151730,153212,156033,156527,153103,147231,149499,152176,152682,152730,152242,151579,150088,149472,148428,143973,144123,141644,138956,132156,127874,124899,118997,-,-,-,-,-,-,-,-,-,-
"단원구",136232,136340,135355,135058,135586,132958,130100,127163,126064,127842,129135,131285,132071,131918,132183,132491,129102,128902,127890,125647,121018,116734,111414,104532,-,-,-,-,-,-,-,-,-,-
"고양시",466150,466229,464380,461459,456852,448574,434028,417607,408816,401772,393093,382046,374396,365492,362719,360212,353270,353322,346029,337745,328375,315193,302237,284357,269400,261972,253831,246802,238424,215349,185184,139642,103279,86588
"덕양구",219055,221023,220682,216683,210486,203939,195766,185883,181875,178039,174272,166253,159948,154549,153342,154770,151548,150948,146689,146896,146979,142726,138651,133128,127425,124966,122683,121352,117358,103736,-,-,-,-
"일산구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172467,163586,151229,141975,137006,131148,125450,121066,111613,-,-,-,-
"일산동구",132750,130000,127885,128567,128436,126569,122981,120658,117436,115258,111620,110182,109634,108231,106924,104091,100678,100066,97464,90376,83335,-,-,-,-,-,-,-,-,-,-,-,-,-
"일산서구",114345,115206,115813,116209,117930,118066,115281,111066,109505,108475,107201,105611,104814,102712,102453,101351,101044,102308,101876,100473,98061,-,-,-,-,-,-,-,-,-,-,-,-,-
"과천시",28738,30874,29194,28726,27262,23373,21467,21205,20903,23454,25030,25251,25233,25413,25832,26194,26203,25296,22669,21993,21681,24528,25008,24537,24398,24467,24598,24677,24802,24522,24205,24112,24124,24124
"구리시",81784,81288,80450,80424,80616,81520,79870,79735,77306,74499,71602,71639,72581,73415,74473,75163,73642,73443,72940,71001,69180,68001,66653,65202,61002,55933,54993,54676,55686,51696,47534,45162,41312,40308
"미금시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23459,23431,23103
"남양주시",308737,307424,304768,304288,299156,285334,276656,264488,255594,251335,246353,238111,230273,223097,216005,211344,195218,187465,180946,171048,161475,147141,138998,131177,122822,117168,109802,100709,91889,82589,76187,-,-,-
"풍양출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"오산시",115234,111036,104437,103552,102161,99436,95209,89860,85445,82581,81033,81146,79951,77951,74807,70714,62410,58408,55488,50873,47265,42817,40869,38886,37963,35074,27712,24680,24051,22741,21422,19224,18835,18100
"시흥시",229801,229340,228474,223534,220421,211150,194750,181061,167802,159978,157755,156293,156764,157203,157772,158958,154703,151396,148832,147279,143602,138009,131499,122082,112000,103224,94179,81091,70709,56017,44831,43534,42222,40911
"군포시",111657,112293,113032,113878,113205,112476,110005,107548,106645,106646,106771,106280,104735,104809,105160,105727,100740,101330,99931,99017,98061,95845,93689,89706,87485,86970,86906,86618,83903,80642,77449,69758,55177,40771
"의왕시",66007,62798,64402,64839,65734,64690,62387,58946,59201,58808,58505,58413,58475,56482,54693,54050,51636,49591,49767,50502,52381,51099,49553,43612,39563,38710,37533,37074,37142,35917,35375,34190,30965,31358
"하남시",140900,141377,141764,140415,138764,128774,115792,105832,93741,84289,66797,59551,57532,57641,58554,59657,58078,55440,52943,52006,50859,48817,47551,45521,42360,41823,41584,41373,42255,40232,38229,34322,30324,29503
"용인시",448730,443702,435340,432151,429492,420519,406880,390137,371685,363559,354267,348064,340748,331035,324587,319465,307258,302454,297692,283819,249939,226043,199847,178287,150505,130599,119996,105184,101078,91062,-,-,-,-
"처인구",129138,125043,117863,115654,115048,111684,107544,103300,94596,91450,87905,86211,83494,81936,81144,81046,78782,78966,78127,75614,72470,-,-,-,-,-,-,-,-,-,-,-,-,-
"기흥구",177169,176278,174971,174294,173844,169979,164904,158468,152765,150943,147312,144565,141613,135770,133762,130466,124976,117914,113480,106229,82432,-,-,-,-,-,-,-,-,-,-,-,-,-
"수지구",142423,142381,142506,142203,140600,138856,134432,128369,124324,121166,119050,117288,115641,113329,109681,107953,103500,105574,106085,101976,95037,-,-,-,-,-,-,-,-,-,-,-,-,-
"파주시",233305,226094,220158,218264,211916,200270,191668,188407,180250,175089,171753,166901,163648,160813,155446,145561,130118,124351,120152,115130,100278,90465,85658,82207,76063,64330,60411,59129,58397,54918,-,-,-,-
"이천시",106808,105615,103793,102618,101417,96799,92643,89596,87116,84339,81228,80433,79956,79312,78979,78221,75278,74534,73344,71776,69206,66481,65661,63307,62016,60341,59016,57055,55194,50406,-,-,-,-
"안성시",97042,94809,91026,89951,89118,85839,81599,79805,77456,76291,74265,74259,73938,73041,72728,71739,68097,67114,64073,61023,58586,56164,53556,50826,47590,44959,42514,41084,-,-,-,-,-,-
"김포시",207222,206388,204594,202189,200846,193234,174613,166635,152052,139498,133231,129379,119228,110104,99125,91581,85694,82978,77197,76657,74942,73758,71036,64816,59508,53749,48905,42517,-,-,-,-,-,-
"화성시",428268,417136,404623,387820,372888,351924,327797,301025,269782,245921,226316,204362,198368,196078,193152,189660,184790,169427,141619,118652,111517,101075,86289,78943,72098,-,-,-,-,-,-,-,-,-
"화성시동부출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"화성시동탄출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광주시",175865,174806,170845,170497,167673,164320,156884,150055,140112,131303,124114,117808,112358,107406,102687,96584,91154,89308,86616,83112,79288,74568,67854,60469,51757,-,-,-,-,-,-,-,-,-
"양주시",132518,128336,117518,106361,102314,97998,93026,89088,85089,80790,80109,78499,77283,77539,77578,75924,69725,68979,68423,63652,58570,54430,51607,-,-,-,-,-,-,-,-,-,-,-
"포천시",73702,73071,72876,73438,73584,71315,69976,69429,68779,68354,67913,67275,66830,66627,66527,66934,65488,65084,62880,61555,59793,56432,55130,-,-,-,-,-,-,-,-,-,-,-
"여주시",56850,56400,55514,53946,52731,51748,50334,49542,48892,47889,47117,46302,45431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"양주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48284,44839,38467,35179,32678,32355,30480,29128,27815,27363,26286
"남양주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48977,46011,43251
"여주군",-,-,-,-,-,-,-,-,-,-,-,-,-,45104,44575,44283,43054,41957,40922,39344,38060,37283,36587,35807,35095,34024,32559,32113,31477,30275,28637,27597,27095,26269
"평택군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34393,33541,32563
"화성군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64905,60974,59078,57796,53568,50989,49668,54355,52844
"파주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53102,51714,50299,48692
"광주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46859,41958,38582,36754,32790,29454,27026,25905,24749
"연천군",22487,21750,21943,21858,22002,22028,21630,21526,21585,21656,21381,20722,20528,20293,19826,19848,19461,19255,18795,18461,18377,18566,18348,17974,17971,17941,18006,17865,17796,17384,16711,16255,16053,15729
"포천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53997,50239,49373,48247,46965,45756,42277,39311,36818,35602,33852
"가평군",33116,33019,32606,32140,31775,31533,30768,30359,29840,29212,28551,27966,27417,26989,26109,25556,24401,23825,22782,22000,21443,20836,20378,19917,19678,19515,19148,18780,18564,18063,17080,16355,15925,15328
"양평군",63654,63101,61811,59788,59094,57675,55782,54422,53186,50544,48629,47254,46389,45505,44061,42429,39962,38822,37345,35872,34641,33198,31904,30571,29620,28975,28013,27246,27013,26120,24456,22904,22474,21752
"이천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47965,45507,44118,43551
"용인군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79051,66514,59398,55405
"안성군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40041,38260,37171,35652,34775,33647
"김포군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42219,36740,34540,36511,35339,33380
"강화군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21541,21265,20993
"옹진군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4978,6698,6510
"강원특별자치도",768900,764834,760635,755481,746220,736301,719524,707245,700265,692254,685005,673978,664913,655301,648649,639001,617693,606950,594360,583890,574019,563355,552319,538613,531123,521728,511060,500668,485157,470385,458553,446526,439602,431691
"춘천시",138329,137157,135498,133668,130277,126685,123006,120190,118450,117014,115044,113095,111313,110596,110075,108140,104022,101758,98900,96802,94957,92873,89901,86815,84886,83844,81288,78843,76110,72969,70774,56379,54650,52690
"원주시",176165,173625,171275,168755,164895,160307,154583,149166,145521,142136,138380,134487,132207,130617,128436,123983,119306,116514,113465,110023,104779,100691,97162,93396,90841,88050,84903,82395,79066,74222,70874,52747,51174,49194
"강릉시",105025,104223,103682,103352,102879,101424,99086,96859,95963,94781,93774,93007,92412,91332,90090,89984,87636,86939,86364,85372,84259,83086,82020,80043,78910,77753,75817,73705,70843,68938,67106,45853,44576,43270
"동해시",43489,43606,43361,43251,42916,42306,41141,40784,40730,40468,40338,40208,40093,39002,39411,38932,38053,37512,37204,36760,36713,36445,36092,35436,34845,34200,33674,33022,32328,31181,29988,28775,27790,26623
"태백시",20065,20246,20377,20324,20731,21588,21798,21832,21889,22265,22293,22352,22204,22258,22230,22292,21182,21131,20843,20386,20320,20141,19870,19722,19467,19042,18968,18794,18536,18607,18773,19053,19599,20957
"속초시",41109,41278,41330,41193,40706,39932,38689,37993,37772,37193,37084,37032,36946,36745,36579,36671,35787,35615,35291,34921,34484,34012,33848,33258,32782,32019,30891,29729,28451,26968,25750,24375,23096,21753
"삼척시",33240,33687,33700,33715,33184,33635,34082,34227,33863,34147,34601,35204,35362,34066,33388,32482,31233,29736,28681,28366,28277,27947,27748,27510,27523,27655,27647,27455,26771,26466,26424,12028,11834,11479
"춘천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11892,11775,11540
"홍천군",35022,34889,34594,34510,34237,34187,33142,32760,32467,31851,31443,31183,30885,29894,29648,29280,28707,28486,27776,27197,26997,26896,25809,25666,25585,24930,24525,24007,23457,22851,22226,21744,21426,21097
"횡성군",24065,24048,23908,23767,23593,23276,22832,22411,21777,21283,20821,20348,19960,19461,19160,18960,18491,17942,17529,16883,16704,16386,15852,15722,15406,15149,15032,14949,14551,14526,14331,14032,13882,13591
"원주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14902,14369,13575
"영월군",20893,21139,21276,21288,21143,21246,21044,21011,20715,20255,19990,19597,19111,18881,18668,18505,17945,17529,17195,16834,16830,16733,17004,16983,18003,17068,17125,16952,16580,16515,16510,16347,16352,16480
"평창군",22013,22080,21993,21927,21665,21618,21379,21172,21008,20745,20601,20279,20030,19783,19569,19392,19027,18712,18499,18226,18021,17707,17881,16971,16523,16251,16119,16103,15761,15376,14834,14453,14294,14291
"정선군",19999,19124,19287,19533,19713,20230,19974,19761,19554,19571,19519,19347,19330,19058,18968,19210,18417,18292,18114,18294,18382,18314,18145,18182,17568,17570,17307,17625,17414,17679,18199,19058,20320,21614
"철원군",20275,20270,20501,20605,20862,21182,21216,21451,21583,21778,22017,20337,19835,19975,19970,20316,18889,18756,18097,18016,18087,18025,17765,17127,17331,17351,17164,16975,16474,16030,15627,15144,14872,14587
"화천군",11979,12055,12052,12114,12556,12862,12603,12564,13065,13207,13668,13474,11734,11686,11716,11370,11038,10813,9764,9754,9731,9796,9784,8889,9040,8950,8865,8818,8619,8508,8342,8117,7946,7759
"양구군",10392,10367,10544,10609,10660,10828,10840,11058,11340,11355,11140,10778,10507,10051,9775,9407,8989,8875,8716,8396,8261,8192,8132,7984,8004,7908,7911,7794,7483,7415,7272,7081,6954,6827
"인제군",16599,16709,16787,16631,16380,15900,15583,15550,15523,15426,15594,14613,14474,14348,13935,13528,13015,12977,13043,12963,12796,12200,11738,11524,11421,11405,11294,11112,10859,10730,10521,10220,9921,9711
"고성군",15317,15331,15431,15291,15064,14546,14445,14763,15519,15377,15324,15408,15377,14663,14248,13975,13562,13136,12757,12793,12698,12484,12326,12287,12216,12089,12118,12127,11918,11808,11703,11392,11322,11276
"양양군",14924,15000,15039,14948,14759,14549,14081,13693,13526,13402,13374,13229,13133,12885,12783,12574,12394,12227,12122,11904,11723,11427,11242,11098,10772,10494,10412,10263,9936,9596,9299,9092,9024,8824
"명주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19562,19422,19186
"삼척군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14280,15004,15367
"충청북도",797797,787756,779967,771848,760672,745644,722123,707220,692140,680960,669503,656321,644062,633166,627006,617431,599204,587411,574189,561762,547213,534231,522501,508561,499739,491781,480519,471831,457526,442057,428922,416001,406391,393020
"청주시",409218,404569,399092,393697,387016,376252,360496,353320,346000,341596,336408,330551,259455,254271,251174,247916,240704,237556,233659,229125,226145,218997,211263,201444,193794,187345,181228,175932,167549,160200,154972,149213,142983,136068
"상당구",89179,89601,89763,87184,84548,81185,73870,72401,69624,70130,70468,70847,94768,91519,91521,91133,90748,90706,91428,92360,90853,87628,83893,78817,75573,73808,73218,72520,69937,68294,64268,-,-,-
"서원구",89521,87924,88901,90101,89194,87404,87148,87678,88484,87531,87656,87902,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"흥덕구",139909,136436,130239,125730,123699,120261,114477,109293,106959,105126,103300,100445,164687,162752,159653,156783,149956,146850,142231,136765,135292,131369,127370,122627,118221,113537,108010,103412,97612,91906,90704,-,-,-
"청원구",90609,90608,90189,90682,89575,87402,85001,83948,80933,78809,74984,71357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동부출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60222,56076,-
"서부출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88991,86907,-
"충주시",104470,103470,102143,100843,99651,98020,95648,93163,90246,88900,87463,86591,84902,83848,82946,82295,80251,78655,76788,75053,73933,72853,71841,71070,70879,70350,69522,68340,66846,64829,62799,41781,40179,38937
"제천시",66373,65881,66038,65436,64540,63945,63417,62367,61949,60946,59856,59233,58662,57975,57393,56504,54485,53291,52392,51480,50763,49552,49082,48656,48439,48519,47305,46397,45274,44005,42874,31270,30661,29711
"청원군",-,-,-,-,-,-,-,-,-,-,-,-,64846,63926,64669,62144,59873,58171,55221,52408,45274,43901,43159,42273,41992,41452,39797,39395,37705,35788,34160,33340,33066,32187
"보은군",16902,16814,16864,16959,17039,16981,16684,16600,16501,16304,16147,15864,15710,15577,15510,15464,15158,14950,14736,14858,14782,14761,14770,14803,14956,15017,15070,15057,14906,14916,14875,14811,14943,14973
"옥천군",26171,25368,25406,25415,25104,24437,24004,23681,23290,23092,22967,22608,22494,22407,22307,22309,21826,21471,21259,21036,20890,20806,20730,20470,20279,20289,20125,20147,19883,19516,19370,18966,18965,18818
"영동군",23659,23715,23722,23794,23813,24414,24509,24370,24132,23840,23586,23111,22554,22293,22025,21767,21271,20689,20229,20080,20037,19905,19963,20003,19888,20016,19975,19954,19799,19588,19350,19049,18951,18616
"증평군",18968,18961,18944,18583,17832,17697,17283,16854,16694,16238,15790,14727,14398,14173,14091,13762,13326,12481,11966,11508,11234,11028,11013,-,-,-,-,-,-,-,-,-,-,-
"진천군",43425,42976,42751,42398,41323,39594,37213,35276,32898,30746,29750,28285,27750,26873,26488,26005,25280,24652,24106,23831,23171,22565,21711,20971,20736,20306,19461,19324,18885,18061,17127,16524,16242,15650
"괴산군",22117,21400,21304,21347,21851,22145,21256,20899,20577,19905,19620,19151,18716,18187,17805,17341,16908,16433,16206,16093,15976,15935,15720,15632,15773,15737,15748,15750,15654,15565,15494,15311,15455,15414
"음성군",51270,49269,48431,48292,47431,46831,46402,45571,45069,44649,43279,41749,40307,39536,38518,37887,36457,35684,34408,33014,31810,30920,30163,29628,29270,28874,28373,27828,27444,26100,24906,23499,22861,21697
"중원군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18985,18951,18515
"제천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10363,10231,10093
"단양군",15224,15333,15272,15084,15072,15328,15211,15119,14784,14744,14637,14451,14268,14100,14080,14037,13665,13378,13219,13276,13198,13008,13086,13287,13472,13583,13438,13495,13481,13418,13183,13343,13396,13392
"증평출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10324,10261,10293,10477,10212,10100,10071,9812,9546,9507,8949
"충청남도",1062282,1052129,1035449,1019093,1001915,983153,959255,943611,923499,902294,885968,871459,857699,842446,868768,854432,827846,812871,796086,774490,756073,736328,691966,666201,653610,641499,626723,614309,596221,571707,550393,532142,523788,511114
"천안시",317941,312542,306418,302893,297987,291425,281333,273851,263434,254676,247695,243364,238677,232724,227976,221744,212488,209512,204645,200280,194101,187837,162102,151536,146412,140891,132292,124047,118060,108978,102202,64464,61547,58335
"동남구",127570,125131,121234,119122,116963,115586,113406,110982,108090,107475,107457,106767,105501,103844,102285,100450,95938,94701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서북구",190371,187411,185184,183771,181024,175839,167927,162869,155344,147201,140238,136597,133176,128880,125691,121294,116550,114811,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"공주시",53661,53537,53019,52394,51580,50966,50519,50134,49393,48835,48632,48794,49273,48825,51317,50789,49743,49778,49758,49744,49016,47696,46378,45146,44785,44379,43872,43161,42024,41200,40303,16804,16322,15762
"대천시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15815,15375,14942
"보령시",48882,49256,49709,49694,49419,49361,48324,47705,47407,47011,46739,45831,45455,45284,45275,45299,44231,43645,43055,41991,41125,40222,39583,39360,39281,39112,38971,38901,38071,37069,36383,-,-,-
"온양시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20329,19755,18000
"아산시",168205,165070,159108,152249,145869,139580,135159,132159,129188,124223,122131,120475,117362,114439,112456,109718,105958,100099,92177,88442,85308,82998,73498,69932,65226,63394,60712,59393,57262,52603,48110,-,-,-
"서산시",84117,84142,83565,82433,81407,79103,76748,75091,72469,70991,69993,68248,66956,65364,64361,63668,62603,61312,59440,57438,55868,54453,53816,50286,49906,48709,48114,47349,46262,43763,41387,16572,15855,15266
"계룡출장소",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9460,9097,8696,8550,8298,6684,5356,4540,4063,3536,3065
"논산시",56990,57337,57648,58137,58048,57826,57196,56729,56679,56347,56095,55451,55270,54995,54709,53704,52444,51840,51771,51745,51992,51406,49732,48458,48229,47811,47534,47634,46903,46017,-,-,-,-
"계룡시",19525,19536,19404,18051,17152,16531,15967,15860,15647,14858,14397,13894,13954,14017,14381,14417,14216,13755,12583,12259,11432,10338,10155,-,-,-,-,-,-,-,-,-,-,-
"당진시",86085,85011,83058,81199,79526,77661,76162,75540,74586,73434,72074,70502,68490,66369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"금산군",26654,26700,26562,26180,25893,25897,25521,25588,25440,25342,25154,24913,24737,24607,24435,24410,24012,23908,24023,23512,23499,23479,22935,22510,22556,22478,21870,21934,21765,21432,20815,19736,19787,19786
"연기군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,34944,34339,32564,32128,32652,33388,32884,32215,30236,28854,27638,26893,26544,26231,25288,24896,24197,24090,23977,23977
"공주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22771,22895,22760
"논산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45218,43903,43547,43214
"부여군",32080,32353,32667,32945,33257,33562,33341,33193,32999,32903,32733,32362,32288,32164,32035,32223,31590,31591,31612,31592,31604,31464,31383,31401,31419,31406,31474,31517,31242,31073,31171,31128,31396,31170
"서천군",26129,26424,26543,26666,26646,26794,26410,26433,26544,26583,26622,26670,26663,26612,26638,26753,26149,25841,25648,25656,25782,25664,25683,25852,26123,26224,26415,26425,26030,25941,25768,25638,25636,25607
"보령군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20006,20326,20546
"청양군",16898,16743,16722,16567,16426,16378,16296,16274,16147,15668,15226,14859,14588,14375,14253,14216,13981,13921,13856,13761,13800,13658,13761,13887,13997,14030,13995,13982,13786,13660,13626,13576,13603,13490
"홍성군",50496,49194,47463,46871,46746,46588,45920,45358,44833,43555,41008,39530,38320,37536,36967,36490,35634,35397,35196,35177,34610,33763,33598,31628,31577,31321,31148,31046,30323,29537,29212,28661,28432,28039
"예산군",41198,40879,40245,39605,39051,38946,38290,38060,37489,37251,37488,37369,36924,36720,36548,36454,35864,35854,35536,35185,34668,34044,33924,33687,33628,33045,32851,32678,32042,31682,31341,30982,30818,30424
"서산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23053,23162,22758
"태안군",33421,33405,33318,33209,32908,32535,32069,31636,31244,30617,29981,29197,28742,28415,28140,28132,27462,27149,26260,25747,24930,24339,23767,23727,23586,23159,22561,22278,21732,20996,20697,20467,20405,20202
"당진군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,64333,62076,58907,57141,57874,48573,45454,42752,41415,40477,40150,39951,39820,39435,38747,37504,35423,34025,33232,32446
"아산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25109,24413,24075
"천안군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30950,29769,27250
"전북특별자치도",868116,864608,861193,855849,849001,836660,816191,806235,797916,790084,782986,774562,766699,760189,754479,740650,720993,710550,701419,692574,683683,675145,672111,658563,656185,645798,635691,624618,607054,595567,584807,571207,564730,553352
"전주시",296468,296931,296394,296241,293207,284106,273753,266541,260683,258006,254710,251702,247718,244811,241199,234415,227704,223318,218224,214515,209069,204772,201263,195850,191544,189042,182919,175945,168482,163814,158232,152838,149221,144473
